# REF_GAZETTEER — indice de nomes geograficos (SINTETICO)
# Gerado por scripts/geradores/gerar_seeds.py — nao editar a mao.
# Dado SINTETICO. Nenhuma unidade, localidade ou codinome aqui existe.
LOCAL_COD,LOCAL_NOME,LOCAL_TIPO_COD,REFERENCIA_TXT,GEOMETRIA_WKT,PRECISAO_METRO
LOC05,Nucleo Pequi,LOCALIDADE,Nucleo Pequi,POINT(-44.793049 -22.570134),1500
LOC06,Vila Macauba,LOCALIDADE,Vila Macauba,POINT(-44.667930 -22.640265),1500
LOC07,Povoado Cagaita,LOCALIDADE,Povoado Cagaita,POINT(-44.630420 -22.509153),1500
LOC08,Nucleo Mangaba,LOCALIDADE,Nucleo Mangaba,POINT(-44.505301 -22.579284),1500
LOC09,Vila Baru,LOCALIDADE,Vila Baru,POINT(-44.467791 -22.448171),1500
LOC10,Povoado Pau-Terra,LOCALIDADE,Povoado Pau-Terra,POINT(-44.342672 -22.518303),1500
LOC11,Nucleo Gonçalo-Alves,LOCALIDADE,Nucleo Gonçalo-Alves,POINT(-44.305162 -22.387190),1500
PN01,Entroncamento BR-154 / VC-231,PONTO_NOTAVEL,Entroncamento BR-154 / VC-231,POINT(-44.843427 -22.647547),400
PN02,Ponte sobre o Corrego Aroeira,PONTO_NOTAVEL,Ponte sobre o Corrego Aroeira,POINT(-45.051231 -22.725468),400
PN03,Ponte sobre o Corrego Pequi,PONTO_NOTAVEL,Ponte sobre o Corrego Pequi,POINT(-44.680798 -22.586566),400
PN04,Morro do Jatoba,PONTO_NOTAVEL,Morro do Jatoba,POINT(-44.984518 -22.661436),400
PN05,Morro da Barriguda,PONTO_NOTAVEL,Morro da Barriguda,POINT(-44.436672 -22.543796),400
PN06,Vau do Corrego Macauba,PONTO_NOTAVEL,Vau do Corrego Macauba,POINT(-44.592364 -22.524145),400
PN07,Fazenda Sucupira,PONTO_NOTAVEL,Fazenda Sucupira,POINT(-45.070853 -22.801103),400
PN08,Fazenda Pau-Terra,PONTO_NOTAVEL,Fazenda Pau-Terra,POINT(-44.404546 -22.424457),400
PN09,Curva do Baru,PONTO_NOTAVEL,Curva do Baru,POINT(-44.783832 -22.615447),400
PN10,Serra da Cagaita,PONTO_NOTAVEL,Serra da Cagaita,POINT(-44.245021 -22.501195),400
PN11,Represa da Copaiba,PONTO_NOTAVEL,Represa da Copaiba,POINT(-44.915888 -22.625948),400
PN12,Posto Mangaba,PONTO_NOTAVEL,Posto Mangaba,POINT(-45.148881 -22.742576),400
QD4471,Quadricula 4471,QUADRICULA,quadricula 4471,POINT(-45.077972 -22.833034),5000
QD4571,Quadricula 4571,QUADRICULA,quadricula 4571,POINT(-45.114476 -22.749182),5000
QD4671,Quadricula 4671,QUADRICULA,quadricula 4671,POINT(-45.150979 -22.665331),5000
QD4472,Quadricula 4472,QUADRICULA,quadricula 4472,POINT(-44.806923 -22.731399),5000
QD4572,Quadricula 4572,QUADRICULA,quadricula 4572,POINT(-44.843427 -22.647547),5000
QD4672,Quadricula 4672,QUADRICULA,quadricula 4672,POINT(-44.879930 -22.563695),5000
QD4473,Quadricula 4473,QUADRICULA,quadricula 4473,POINT(-44.535874 -22.629764),5000
QD4573,Quadricula 4573,QUADRICULA,quadricula 4573,POINT(-44.572378 -22.545912),5000
QD4673,Quadricula 4673,QUADRICULA,quadricula 4673,POINT(-44.608882 -22.462060),5000
QD4474,Quadricula 4474,QUADRICULA,quadricula 4474,POINT(-44.264826 -22.528129),5000
QD4574,Quadricula 4574,QUADRICULA,quadricula 4574,POINT(-44.301329 -22.444277),5000
QD4674,Quadricula 4674,QUADRICULA,quadricula 4674,POINT(-44.337833 -22.360425),5000
